,backnumber,player_id,team_id,position,birthday,profile,school
0,37,강동훈,KIA,투수,11/23/2000,"185cm, 98kg",천안남산초-청주중-청주고-중앙대
1,13,강민제,KIA,내야수,2/10/2005,"181cm, 82kg",군산중앙초-군산중-군산상일고
2,2,강이준,KIA,투수,4/7/1998,"190cm, 86kg",발산초-덕수중-구리인창고-KIA-상무
3,57,고종욱,KIA,외야수,1/11/1989,"184cm, 83kg",역삼초-대치중-경기고-한양대-히어로즈-상무-히어로즈-SK-SSG
4,0,곽도규,KIA,투수,4/12/2004,"185cm, 90kg",도척초-공주중-공주고
5,20,권혁경,KIA,포수,1/23/2002,"187cm, 94kg",중대초-잠신중-신일고
6,43,김건국,KIA,투수,2/2/1988,"183cm, 86kg",한서초(서부리틀)-청량중-덕수정보고-두산-KT-롯데
7,14,김규성,KIA,내야수,3/8/1997,"185cm, 88kg",갈산초-선린중-선린인터넷고
8,53,김기훈,KIA,투수,1/3/2000,"184cm, 93kg",광주수창초-무등중-광주동성고-KIA-상무
9,69,김대유,KIA,투수,5/8/1991,"187cm, 92kg",부산중앙초-부산중-부산고-히어로즈-SK-KT-LG
10,5,김도영,KIA,내야수,10/2/2003,"183cm, 85kg",광주대성초-광주동성중-광주동성고
11,60,김도현,KIA,투수,9/15/2000,"183cm, 87kg",길원초(동대문구리틀)-잠신중-신일고-한화
12,12,김두현,KIA,내야수,4/25/2003,"178cm, 80kg",수원신곡초-공주중-공주고-동원대
13,4,김민수,KIA,외야수,4/5/2000,"186cm, 87kg",부산수영초-경남중-경남고
14,61,김민재,KIA,투수,7/8/2003,"188cm, 85kg",효제초-청량중-신일고-동원과학기술대
15,49,김민주,KIA,투수,9/8/2002,"182cm, 85kg",서울청담초(성동구리틀)-건대부중-배명고-강릉영동대
16,21,김사윤,KIA,투수,6/8/1994,"182cm, 90kg",광주화정초-무등중-화순고-SK-상무-SK-SSG
17,35,김석환,KIA,외야수,2/28/1999,"187cm, 97kg",광주서석초-광주동성중-광주동성고
18,3,김선빈,KIA,내야수,12/18/1989,"165cm, 77kg",화순초-화순중-화순고-KIA-상무
19,17,김세일,KIA,투수,3/2/2003,"188cm, 91kg",부산수영초-개성중-용마고
0,24,김승현,KIA,투수,7/9/1992,"180cm, 105kg",노암초-경포중-강릉고-건국대-삼성-상무-삼성
1,10,김재현,KIA,내야수,12/2/2000,"176cm, 81kg",광주화정초-건대부중-경기고-송원대
2,46,김정엽,KIA,투수,4/18/2006,"185cm, 96kg",부산수영초-개성중-부산고
